features,url,price,address,property_type,description
,http://myhome.ie/rentals/brochure/cranmer-place-haddington-road-dublin-4/143828,"
        €2,800 / month
    ","
        Cranmer Place, Haddington Road, Dublin 4
    ","
    ,
    
        ,
    
","
                Cranmer Place is by far one of the best properties in our portfolio. Perfectly located in an area that is home to embassies of the world, businesses and family homes. The city centre, Trinity College, Nassau Street, Merrion square and the village of Ballsbridge are within walking distance and the Dart and QBC are just a couple of minutes stroll away. ,A bright modern apartment set in beautifully landscaped grounds with garden furniture and soothing water features. The accommodation consists of two double bedrooms, Master ensuite, guest bathroom, large open plan living dining room with balcony and modern kitchen. Utility charges are extra.
            "
,http://myhome.ie/rentals/brochure/the-northumberlands-lwr-mount-street/194816,"
        €2,200 / month
    ","
        The Northumberlands, Lwr. Mount Street
    ","
    ,
    
        ,
    
","
                Short-term fully serviced corporate apartment. Rent includes cleaning and linen service, electricity and heating, broadband and parking! Situated in the heart of Dublin this is a modern and comfortable apartment in a well-appointed block with private and secure parking space for 1 car Open plan living/dining room, with carpeted floors and flame effect electric fire; separate well equipped modern kitchen; 1 double bedroom, one bathroom with W.C. and shower over bath; economy heating, cable TV, shared roof garden with sun room. (Minimum let 1 month unless booked one week prior to departure).
            "
"
                Well insulated and maintained house in beautiful area near Waterford city.
            ",http://myhome.ie/rentals/brochure/brownstown-head-dunmore-east-waterford/3300711,"
        €700 / month
    ","
        Brownstown Head, Dunmore East, Waterford
    ","
    ,
    
        ,
    
        ,
    
","
                10km from Waterford city via airport road / beside beach. Available from first week in September. Suitable for professionals/small family.  Will consider term-time/shorter rentals for people commuting/on short-term work contracts in Waterford.
            "
,http://myhome.ie/rentals/brochure/no-3-holiday-homes-golf-club-ballyneety-limerick/3355825,"
        €850 / month
    ","
        No. 3 Holiday Homes, Golf Club, Ballyneety, Limerick
    ","
    ,
    
        ,
    
        ,
    
","
                A 3 Bedroom Dormer Style Bungalow, Living Room/Dining Area, Kitchen, 2 Double Rooms and 1 twin Room.,3 Bathrooms. Open Plan rear Garden.  Private Parking.  Gas Central Heating (on Meter).,The House is situated within the grounds of Ballyneety Golf Club.
            "
,http://myhome.ie/rentals/brochure/1-cuilean-carraroe-galway/3381844,"
        €150 / week
    ","
        1 Cuilean, Carraroe, Galway
    ","
    ,
    
        ,
    
","
                3 Bed modern house in village of Carraroe. Bright and warm. All mod cons. Easy reach of beaches. Scenic walks.
            "
,http://myhome.ie/rentals/brochure/park-avenue-short-term-accommodation-sandymount-dublin-4/143836,"
        €2,600 / month
    ","
        Park Avenue - Short-term accommodation, Sandymount, Dublin 4
    ","
    ,
    
        ,
    
","
                Fully serviced, short-term accommodation. Available for weekly or monthly lets. Rent includes cleaning and linen service, electricity and heating charges, broadband and parking. House sleep 4 people!
            "
,http://myhome.ie/rentals/brochure/landsowne-village-ballsbridge-dublin-4/144455,"
        €2,500 / month
    ","
        Landsowne Village, Ballsbridge, Dublin 4
    ","
    ,
    
        ,
    
","
                Short-term, serviced, corporate accommodation right in the heart of Ballsbridge, just off Lansdowne Road, we offer a selection of excellent 2 storey townhouses ideally located for those visiting Dublin for business or pleasure. All are comfortably furnished and decorated with private parking outside, are less than 5 minutes walk from the DART station and Aviva Stadium. Close to the RDS showgrounds and Exhibition Centre, The O2,, restaurants and pubs. Herbert Park is just 10 minutes walk and is a quiet oasis complete with duck pond, children's playground and tennis courts and lovely lawned walks and Sandymount Strand is within easy walking distance.,This is right in the heart of Dublin's most prestigious residential areas, and on the edge of it's commercial and embassy belt. City Centre is a brisk 25 minute walk or a short taxi ride from the properties. ,Weekly cleaning, Utility bills, parking, broadband are all included!
            "
,http://myhome.ie/rentals/brochure/college-road-castleisland-kerry/3356624,"
        POA
    ","
        College road, Castleisland, Kerry
    ","
    ,
    
        ,
    
","
                2 bedroom bungalow to rent minutes walk from castleisland town. Garden to the front and rear of property
            "
,http://myhome.ie/rentals/brochure/near-wicklow-town-blainroe-wicklow/3278302,"
        €1,050 / month
    ","
        Near Wicklow Town, Blainroe, Wicklow
    ","
    ,
    
        ,
    
        ,
    
",
,http://myhome.ie/rentals/brochure/5-wolfe-tone-park-fermoy-co-cork-fermoy-cork/2976119,"
        €600 / month
    ","
        5 Wolfe Tone Park, Fermoy, Co. Cork, Fermoy, Cork
    ","
    ,
    
        ,
    
        ,
    
","
                Ideally located, well maintained 3-bedroom house within walking distance of town centre.,Viewing appointments to be made directly with landlord.
            "
"
                It has a large open plan kitchen and dining room. Fully fitted with American fridge oven/hob and dishwasher.,Sittting room with open fire.,Reception room/office,Bedroom 1 with ensuite shower and toilet.,Bedroom 2 single,Bedroom 3 double,Large bathroom with corner bath and shower,Stairs to attic conversion,Bedroom 4 very large,Bedroom 5 also a playroom
            ",http://myhome.ie/rentals/brochure/kilgarriff-ballylanders-limerick/3365122,"
        €700 / month
    ","
        kilgarriff , Ballylanders, Limerick, V35Y427
    ","
    ,
    
        ,
    
        ,
    
","
                Large Bungalow with converted attic on 1acre of land. 5 minute drive from Ballylanders and 10 minute drive to Mitchelstown and the M8.,Tarmac parking around the property. ,Own water well and oil fired central heating.
            "
"
                Garden, Drive for car,
            ",http://myhome.ie/rentals/brochure/15-cremore-heights-glasnevin-dublin-11/3316826,"
        €2,000 / month
    ","
        15 Cremore Heights, , Glasnevin, Dublin 11
    ","
    ,
    
        ,
    
        ,
    
","
                OPEN HOUSE ON SUNDAY, AUGUST, 30TH. 2-6PM,Bright and furnished 3 bedroom family home in a quiet cul de sac. Lovely location. Bus stops and shops within 100 metres. 10 minutes drive from the airport. Enclosed garden with shed.,No rent allowance.
            "
,http://myhome.ie/rentals/brochure/126-ashfield-east-kilkenny-kilkenny/3374266,"
        €850 / month
    ","
        126 Ashfield East,, Kilkenny, Kilkenny
    ","
    ,
    
        ,
    
        ,
    
        ,
    
","
                This is a lovely 3 bed semi detached house situated in this popular development, close to the ring road and within walking distance to the city centre, shops, etc,The house overlooks a green area and has ample parking on the driveway,,Sitting room with open fire and double doors opening into the dining area,,Kitchen is fully fitted and has doors out to the garden, which has a patio area and a large shed / storage room,,There is a downstairs toilet,,Master bedroom has an ensuite, there is a further double room and a single room and a main bathroom,This house would ideally suit a professional couple or family,,Work references and previous landlord references essential
            "
"
                Free to air satellite TV ,Triton electric showers,Patio,Parking beside bungalow ,22'tv,DVD player ,Washing machine ,Microwave ,Includes Refuse charges ,Pinenergy-pay as you go electricity
            ",http://myhome.ie/rentals/brochure/23-pebble-lawn-tramore-waterford/2028543,"
        €120 / week
    ","
        23 Pebble Lawn,Tramore, Waterford
    ","
    ,
    
        ,
    
        ,
    
","
                Available Sept 12th 2015..suit professionals or family. 9 month lease.. Lovely, 2 bedroomed bungalow, 5 minutes walk to the beach New in Sept 2012. We have just installed the SMart cx61 combo box giving 126 tv channels including the RTEs BBCs UTVs and many others. 3 minutes walk from the Majestic Hotel. 4 minutes from bus station serving Waterford, Dublin. Main bedroom en-suite. Separate bathroom with bath and Triton shower.Fully furnished, including free to air tv.In Pebble Beach complex near entrance, not far from Splashworld. Tranquil, idyllic setting.Free parking beside house. South facing patio. Large open plan kitchen/dining/sitting room. See photos.Annual refuse charge included in rent. Lawns maintained by caretaker. Public lighting beside bungalow.
            "
"
                Large garden, beach
            ",http://myhome.ie/rentals/brochure/mullock-road-garryvoe-cork/3248493,"
        €400 / week
    ","
        Mullock road, Garryvoe, Cork
    ","
    ,
    
        ,
    
","
                Summer letting price depends on duration of stay. 2 bedroomed apartment close to beach 5 mins walk. Close to  Garryvoe shop etc.
            "
"
                Our seaside house has it all - peace, comfort and quiet in beautiful surroundings. A laidback atmosphere one mile from the bright lights of pub and pier. Kids will love the pebbly strand nearby and hitch/hike or cycle to the fabulous sandy beaches.,The house has two baby cots and highchair, and guests are welcome to use our holiday kit - games, wetgear and wetsuits etc. TV and DVD (a limited selection) is available but you'll have to go to the pub for wifi. It is  particularly suited to families but mixed groups are also welcome. Hen and Stag parties excepted!,There's a regular ferry service to the mainland and a minibus operates from the ferry to houses on the island. As Sherkin has no shop, guests are advised to come prepared although the hotel does provide a very limited grocery service.  The house also operates an honesty tin for the basics that are in situ. Strictly no smoking inside. ,Our house is a lovely, well loved family home that we are happy to share. We ask that you treat it as such!
            ",http://myhome.ie/rentals/brochure/peggie-s-house-the-dock-sherkin-island-baltimore-cork-west/3210349,"
        €500 / week
    ","
        Peggie's House, The Dock, Sherkin Island, , Baltimore,   Cork West
    ","
    ,
    
        ,
    
","
                Peggie's house is a bright and airy family home in a beautifully peaceful setting with fantastic views. It is one mile from the pier and pubs and has a rocky cove and beach at 200m. A walk or cycle will bring you to the beautiful sandy beaches.
            "
"
                Gas Central Heating,Parking,Partly Furnished
            ",http://myhome.ie/rentals/brochure/37-castlelea-avenue-portarlington-co-laois/2150420,"
        €675 / month
    ","
        37 Castlelea Avenue, Portarlington, Co. Laois
    ","
    ,
    
        ,
    
        ,
    
","
                Stunning, 3 bed property to let. This is a particularly nice estate which is close to all local amenities. The houses are gas central heating and have solar panels. The master bedroom has an en suite shower room. There is also a family bathroom and downstairs wc. Early viewing of this property is highly recommended. Please note this property require Landlord References and working references.
            "
,http://myhome.ie/rentals/brochure/cratloe-suites-two-mile-inn-hotel-ennis-road-co-limerick/2292275,"
        €750 / month
    ","
        Cratloe suites, Two Mile Inn Hotel, Ennis Road, Co. Limerick
    ","
    ,
    
        ,
    
","
                Free Electricity*,Free Gas*,Free Heating,Free Wireless,Free Bins,Free TV Channels,(*Fair Usage applies),(*Fair Usage applies -Gas- €100 per suite per period, average consumption is less than this),A development of modern apartments which are conveniently located on the Ennis Road within easy access of Limerick City, Shannon and Ennis.  ,The apartments are tastefully decorated throughout and offer good living space with all bedrooms ensuite.,All apartments are fully furnished and fitted with oven/hob/extractor, dishwasher, microwave and access to free washing machine and dryer.,All apartments are alarmed.  There is underfloor heating in the ensuite bathrooms.,NO ANIMALS ALLOWED,BER Exempt.
            "
,http://myhome.ie/rentals/brochure/no-55-pine-valley-avenue-rathfarnham-dublin-16/1714372,"
        €2,400 / month
    ","
        No.55 Pine Valley Avenue, , Rathfarnham,   Dublin 16
    ","
    ,
    
        ,
    
","
                MFO The Property Professionals are very proud to bring to the ,market this 4/5 bedroom detached beautifully presented family ,home. ,The property has been tastefully modernised and extended offering ,spacious accommodation with a large private mature sunny rear ,garden.,The accomodation comprises 2/3 large reception rooms, a ,spacious fully fitted kitchen, WC, Utility and Pantry, 3 / 4 ,double bedrooms (Master En-Suite) and a single bedroom. There is ,also a large reception hall, secure off-street parking with ,stunning garden both front and rear.,The location is ideal; there are numerous well renowned secondary ,and primary schools nearby. Perfectly positioned the property is ,just around the corner from Dundrum and Rathfarnham villages. Each ,of these locations boasts an array of amenities such as shops, pub,restaurants cinema's etc
            "
,http://myhome.ie/rentals/brochure/7-scholarstown-park-rathfarnham-dublin-16/2212869,"
        €1,450 / month
    ","
        7 Scholarstown Park, Rathfarnham, Dublin 16, D16DA32
    ","
    ,
    
        ,
    
        ,
    
","
                Location:,Located a few minutes’ drive from the M50 motorway, Scholarstown Park is a small development located just off the Scholarstown Road in Rathfarnham. The property benefits from a host of local amenities such as Superquinn Shopping Centre, Dundrum Town Centre and a host of schools within a couple of minutes’ walk.,Description:,Fine three bedroom red bricked fronted family home with oil fired central heating, the property is being let partly furnished. The front garden has been covered in concrete and paving for ample off street parking. There is a large side entrance which leads to the rear garden, where you will find a good side patio area with barna shed. Accommodation comprises of porch, entrance hall, livingroom with interconnecting door to kitchen/diningroom, upstairs landing, hotpress, bathroom, three bedrooms.
            "
,http://myhome.ie/rentals/brochure/8-whitethorn-park-allenwood-kildare/3383724,"
        €1,050 / month
    ","
        8 whitethorn park , Allenwood, Kildare
    ","
    ,
    
        ,
    
","
                Lovely 3 bed semi, only 2 years old. Main bedroom enquire, double room and single room. Bathroom and downstairs wc. All mod cons, oil central heating, and back boiler stove which heats radiators also. 1 min walk to shops, take aways, garage, and bus stop, school only mins walk. Hourly buses into Dublin and a short drive to naas, Newbridge, kildare village. Please call or text anytime.
            "
,http://myhome.ie/rentals/brochure/35-springfield-road-templeogue/2302711,"
        €900 / month
    ","
        35 Springfield Road, Templeogue
    ","
    ,
    
        ,
    
","
                This is a compact One Bedroomed Apartment, located on the ground floor of this property. The area has all main amenities within walking distance, there are utility facilities available.Heating included
            "
,http://myhome.ie/rentals/brochure/old-dalgan-park-shrule-mayo/3155054,"
        €450 / month
    ","
        Old Dalgan Park, Shrule, Mayo
    ","
    ,
    
        ,
    
        ,
    
","
                Beautiful cottage on half acre site.  Built in 2001 ..... very well built by local builder.....well insulated and cosy..Our cottage is a warm bright space and is an open plan design with the bedroom in the loft overlooking the main room.  The sofa in the main.room is a sofa/bed and can sleep an extra 2 people.  There is a seperate bathroom with an electric shower and corner bath...,There is an open turf fire in the main room making this home very cosy.,There is also oil fired central heating, electric oven, gas hob, microwave oven, etc. There is a large front and back garden.
            "
,http://myhome.ie/rentals/brochure/m1-business-park-balbriggan/1486394,"
        POA
    ","
        M1 Business Park, Balbriggan
    ","
    ,
    
        ,
    
","
                Excellent opportunity to lease these state of the art buildings. Comprising extensive office accommodation fully equiped work stations built to a higher than standard specification. Combine this with extensive warehouse /industrial facility located just  minutes off the M1 Motorway giving  ease of access to Dublin City cente , Port Tunnel , M50 and  to all other routes  countrywide,The Zoning provides for numerous general enterprise & employment uses which makes this a much sought after location. Viewing is very highly recommended.
            "
,http://myhome.ie/rentals/brochure/rowan-house-mespil-estate-sussex-road-dublin-4/299235,"
        €1,195 / month
    ","
        Rowan house, mespil estate, sussex road, dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                compact one double bed / showing this weekend  , bathroom with bath and electric shower , kitchen with washer dryer , cooker , microwave etc , rent includes parking space , refuse collection. property tax  and service ,see this and other property on our facebook page maypole property 0868882121 ,indoor  swimming pool on parkland complex, close to luas , seven minutes walk st stephens green
            "
"
                Deposit of 2000 euro required plus 2000 euro month.,Information:,Chris's phone number 0894254064
            ",http://myhome.ie/rentals/brochure/cork-street-dublin-ireland-south-city-centre-dublin-8/3213367,"
        €2,000 / month
    ","
        Cork Street, Dublin, Ireland, South City Centre,   Dublin 8
    ","
    ,
    
        ,
    
        ,
    
","
                * Only 1 Car part space to let *,- 1 Car part space to let of 1 year lease,- Safe , secure , underground , carpark space available with fob , 24 / hrs hour access ,- Underground of Lidl shop in Cork Street, Dublin, Ireland.
            "
"
                Recently insulated,New double glazed windows,New carpets and floors just fitted,New Fridge Freezer,New Cooker and Washing Machine,Cable TV points in all bedrooms and living room,Landline,New Electric Shower,Alarm
            ",http://myhome.ie/rentals/brochure/21-mask-crescent-artane-dublin-5/2346437,"
        €1,250 / month
    ","
        21 Mask Crescent, Artane,   Dublin 5
    ","
    ,
    
        ,
    
        ,
    
","
                A lovely two bedroom End of Terrace home to rent, conveniently located 6 mins walk from Dart Station and the Malahide Road. Having just been redecorated throughout, this house is in showhouse condition. Accommodation briefly comprises entrance hall, livingroom, kitchen/diningroom,  bathroom and 2 double bedrooms. A lean-to washroom extension exists to the side of the property.,Ample gardens to the front and rear. 27A Bus Stop just outside the door. ,Unfortunately no rent allowance accepted.
            "
,http://myhome.ie/rentals/brochure/54a-rathmines-road-lower-rathmines-dublin-6/3375765,"
        €1,650 / month
    ","
        54A Rathmines Road Lower, Rathmines, Dublin 6
    ","
    ,
    
        ,
    
        ,
    
","
                Lovely large 2 bed, 2 bath (one ensuite) apartment. 85 square metres (915 square feet). Entire Garden level of period house with independent entrance to front, security door. Completely refurbished in 2010 including new insulation, kitchen, bathrooms, etc. Contemporary fittings and furniture. Suitable for 2 professional people total. No pets please. No parking.
            "
,http://myhome.ie/rentals/brochure/grange-road-new-ross-wexford/3156687,"
        €600 / month
    ","
        grange road, New Ross, Wexford
    ","
    ,
    
        ,
    
",
,http://myhome.ie/rentals/brochure/deselby-lane-tallaght-dublin-24/3300403,"
        €1,400 / month
    ","
        DeSelby Lane, Tallaght,  Dublin 24
    ","
    ,
    
        ,
    
        ,
    
","
                3 Bedroom Semi Detached House. South facing backgarden. Property briefly comprises of kitchen and dining area, sitting room, 3 bedrooms, main bedroom includes ensuite and main bathroom. ,Will suit professionals,No rent allowance accepted
            "
"
                *Stunning period house and features,*Dublin city centre,*marble fireplaces,*chandlers,*leather couches,*TV ,*front garden,*2 living rooms ,*modern zanussi appliances,*utility area ,*belfast sink,*stained glass door & window
            ",http://myhome.ie/rentals/brochure/north-city-centre-north-city-centre-dublin-1/2327726,"
        €2,000 / month
    ","
        North City Centre, North City Centre, Dublin 1
    ","
    ,
    
        ,
    
        ,
    
","
                AVAILABLE NOW *** GORGEOUS SPACIOUS HOUSE  ,3 or 4 double bedroomed HOUSE with front garden ,Nurses * Doctors * IFSC * City Centre people ,One minute walk to Mater Hospital, Mater Private, St Patricks College, ,Temple Street Hospital, IFSC, O'Connell St, City Centre, Chinatown, Quays, Croke Park, Drumcondra,Main Bus routes - Airport Bus Route ,Stunning red bricked house in centre of Dublin ,Living room, Dining room, 3 or 4 large bedrooms whatever suits you ,2 Leather couches, decorative fireplaces in every room, chandlers, carpeted throughout,, ,perfect for 3-4 professionals. ,Zanussi fridge, Zanussi dishwasher, ,Zanussi washing mach & Zanussi dryer in utility room ,Bathroom with bath and shower.
            "
"
                On offer:  Opportunity to rent a room in a superb apartment.,- Situated in the heart of the docklands with the Luas at the Point Village a 2 minute walk away. ,- The Point (3Arena) and the Odeon Cinema are located a couple of minutes walk around the corner. ,-  A 10 minute walk will take you to the heart of the IFSC while a 15 minute walk will bring you to the south docklands area with its array of restaurants and bars and the home of the iconic Bord Gais Energy Theatre. ,- A Spar shop is located on site (on the ground floor of the apartment block).,- Owner occupied.  Owner (female) travels frequently on business Mon-Fri and often at weekends
            ",http://myhome.ie/rentals/brochure/castleforbes-square-dublin-1-dublin/3375205,"
        €750 / month
    ","
        Castleforbes Square, Dublin 1, Dublin
    ","
    ,
    
        ,
    
","
                DOUBLE ROOM to RENT in large 2 bed apartment on 5th floor of complex.  The apt is located in a quiet corridor of only 4 apartments on the 5th floor.  Owner occupied for nearly 10 years, the apartment is in very good condition with solid wood floors throughout and carpets in the bedrooms.  The room to rent has its own balcony.  Viewing is highly recommended.
            "
,http://myhome.ie/rentals/brochure/hillcrest-house-carrick-on-suir-tipperary/2733303,"
        €600 / month
    ","
        Hillcrest House, Carrick-on-Suir, Tipperary
    ","
    ,
    
        ,
    
        ,
    
","
                Period House. High ceilings. Recently decorated. The house has AMAZING insulation. The walls have been dry lined, lots of attic insulation, and double glazed panes. Chandeliers in main rooms. Two large double bedrooms. Very large garden. New Kitchen. Central Heating.
            "
,http://myhome.ie/rentals/brochure/39-lindsay-rd-glasnevin-dublin-9/1991491,"
        €2,000 / month
    ","
        39 Lindsay Rd, Glasnevin, Dublin 9
    ","
    ,
    
        ,
    
","
                4 Bedroomed Semi Detached Red Brick House in established neighbourhood, close to all amenities and the city centre.,Large rear garden.
            "
,http://myhome.ie/rentals/brochure/church-road-malahide-county-dublin/3365228,"
        €1,200 / month
    ","
        Church Road, , Malahide, County Dublin
    ","
    ,
    
        ,
    
","
                Fully furnished to very high standard - first time let. Two bedroom, ground floor studio apartment, Located 2 minute walk from Dart/train/bus and Malahide village. Would suit 2 students attending Dublin Collages. Price includes all utilities excluding phone. Direct links to Dublin Airport.
            "
,http://myhome.ie/rentals/brochure/47a-swords-county-dublin/3103022,"
        €1,200 / month
    ","
        47a, Swords,   County Dublin
    ","
    ,
    
        ,
    
","
                2 bed 1st floor apartment.newly furnished ant decorated.living room kitchen/dining room 2 double bedrooms bathroom. balcony,   centally located beside hertz and woodies10 minuite walk to village.easy axcess to airport and m50
            "
,http://myhome.ie/rentals/brochure/shrewsbury-park-merrion-road-ballsbridge-ballsbridge-dublin-4/1802413,"
        €3,000 / month
    ","
        Shrewsbury Park , Merrion Road , Ballsbridge , Ballsbridge, Dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                Fantastic three semi detached townhouse situated in this upmarket gated development in the heart of Ballsbridge.  A stone throw away form the Merrion Shopping Centre and with Ballsbridge offering a many superb restaurants and bars and cafes to choice from. The dart station is an approx 5 minutes walk and easy access top the Rock and Stillorgan dual carriageway. Tastefully decorated throughout.  Bright and spacious.  Accom comprises of  Good size separate kitchen with all mod cons and breakfast area..  Large living room with feature fireplace. Two large double bedrooms one with ensuite and one good single bedroom.   Main bathroom with shower.  Rear garden, Parking . Large Storage.
            "
,http://myhome.ie/rentals/brochure/36-parklands-westport-mayo/2384273,"
        €140 / week
    ","
        36 Parklands, Westport, Mayo
    ","
    ,
    
        ,
    
","
                2 Bedroom residence within town centre of Westport. It comprises of living / dining / kitchen area, two bedrooms and two bathroom. Amenities of Westport Town Centre all within close range. Call for viewing arrangements.
            "
